time,tavg,tmin,tmax,prcp
01-01-2010,22.1,17.9,28,0.3
01-02-2010,21.7,16.8,28.5,
01-03-2010,20.8,16.8,27.7,
01-04-2010,21,14.6,29,
01-05-2010,22.3,15.4,29.5,
01-06-2010,21.3,16,27.5,
01-07-2010,20.6,15.4,26.4,
01-08-2010,21.8,16.1,28,
01-09-2010,22.7,19.8,28,
01-10-2010,22.5,19.5,27.9,
01-11-2010,23.2,20,29,
01-12-2010,23.3,20.2,29.4,
01-13-2010,23.2,20.3,28.5,
01-14-2010,23.4,20,28.9,
01-15-2010,21.8,19.1,26.7,
01-16-2010,21.3,15.4,27.8,
01-17-2010,21.5,15.8,27.9,
01-18-2010,22.6,18.6,28.4,
01-19-2010,21.8,18.2,28.1,
01-20-2010,21.5,,27.3,
01-21-2010,20.6,15.4,28,
01-22-2010,20.4,14.5,28.3,
01-23-2010,19.8,14.1,28,
01-24-2010,20.9,14.4,28,
01-25-2010,21,16.8,27,
01-26-2010,21.6,17.7,28.1,
01-27-2010,21.4,16.5,27.9,
01-28-2010,21.8,16.6,27.9,
01-29-2010,21.8,16.2,28.8,
01-30-2010,22.1,16.2,29,
01-31-2010,22.2,16.3,29.2,
02-01-2010,21.8,16.1,29.3,
02-02-2010,21.8,15.4,28.8,
02-03-2010,21.8,14.8,29,
02-04-2010,21.5,15,28.7,
02-05-2010,21.4,14.3,28.6,
02-06-2010,21.8,15,28,
02-07-2010,21.1,15,27.6,
02-08-2010,22.4,15.9,29.5,
02-09-2010,23.6,16,31.5,
02-10-2010,23.8,17.1,31.6,
02-11-2010,24.3,20.1,30.6,
02-12-2010,24.2,18.9,31.7,
02-13-2010,24.5,18.7,31.8,
02-14-2010,25.7,19,33.5,
02-15-2010,25.4,19.5,33.1,
02-16-2010,24.7,18.1,32.7,
02-17-2010,25.3,17.9,33.6,
02-18-2010,26.1,19.4,34.4,
02-19-2010,26.3,,34.1,
02-20-2010,26.6,19.3,34.2,
02-21-2010,25.8,,33.7,
02-22-2010,26.8,20.5,34,
02-23-2010,26.9,20.6,33.6,
02-24-2010,26.6,22.1,33.6,
02-25-2010,27.4,22.1,34,
02-26-2010,27.4,22.3,34,
02-27-2010,27,21.5,34.3,
02-28-2010,26.6,20.1,33.5,
03-01-2010,26.2,19.2,33.4,
03-02-2010,25.8,18.5,33.4,
03-03-2010,26.2,19.5,34.2,
03-04-2010,26.3,20.5,34,
03-05-2010,26.8,,33.8,
03-06-2010,27.9,22.3,34.4,
03-07-2010,28,22,35,
03-08-2010,28.8,23.3,35.6,
03-09-2010,28.1,21.2,,
03-10-2010,27.4,20.5,34,
03-11-2010,27.1,22,33.9,
03-12-2010,26.7,19.4,33.5,
03-13-2010,26.1,20.2,33.3,
03-14-2010,27.4,20.6,34.4,
03-15-2010,28.1,21.5,35.5,
03-16-2010,28.2,22.9,34.6,
03-17-2010,27.4,22,34.1,
03-18-2010,26.1,19.6,32.6,
03-19-2010,26.4,18.8,33.6,
03-20-2010,27.3,20.3,34.2,
03-21-2010,27.6,21,35.3,
03-22-2010,27.6,20.7,35.5,
03-23-2010,27.5,21.8,35.7,
03-24-2010,28.3,22,35.4,
03-25-2010,27.6,22,35.1,
03-26-2010,27.7,22.3,35.5,
03-27-2010,28.3,22.9,34.7,
03-28-2010,28.2,23.4,35.1,0
03-29-2010,28.2,23.8,34.7,
03-30-2010,27.7,,34.9,
03-31-2010,23,21.4,25.8,6.1
04-01-2010,26.8,20.7,34.8,0
04-02-2010,29,21.8,36.4,
04-03-2010,29.9,24.4,36.4,
04-04-2010,29.2,24.2,35.4,
04-05-2010,29.6,23.2,36,
04-06-2010,28.6,,35.5,
04-07-2010,29.2,23,35.8,
04-08-2010,27.8,22.4,33.6,
04-09-2010,29.6,23.6,36.4,
04-10-2010,29.8,23.7,36.7,
04-11-2010,30.4,24.2,37.6,
04-12-2010,28.2,,37.1,
04-13-2010,26.1,20.9,36.1,22.1
04-14-2010,25,,34.7,8.9
04-15-2010,27.6,20.3,35.2,37.1
04-16-2010,28.6,23.5,34.6,0
04-17-2010,28.3,23.4,34.6,
04-18-2010,27.5,,33.6,
04-19-2010,26.3,22.2,32.9,0
04-20-2010,27.2,22.3,34.2,1
04-21-2010,24.9,,34.4,0
04-22-2010,26.2,20.9,33.6,19.1
04-23-2010,28.1,22.3,33.9,0
04-24-2010,25.3,,32.8,
04-25-2010,26.1,20.4,33.8,
04-26-2010,27.5,22,32.7,0
04-27-2010,26.9,,33.6,
04-28-2010,27.1,22.1,33.1,
04-29-2010,27.9,23,33.1,0
04-30-2010,24.8,,32,
05-01-2010,24.8,19.3,29.7,25.9
05-02-2010,26.9,22.5,31.5,0
05-03-2010,26.6,19.8,32.5,4.1
05-04-2010,26.2,,32.4,0
05-05-2010,26.7,21.6,32.5,6.1
05-06-2010,27.2,22.9,34.4,0
05-07-2010,28.2,22.7,33.9,2
05-08-2010,28.3,24.2,34.7,0
05-09-2010,28.4,23.4,34.7,
05-10-2010,29.1,24.3,35.4,
05-11-2010,28.9,24.4,35.9,
05-12-2010,29.6,23.4,36.2,
05-13-2010,28.3,24.3,35.3,
05-14-2010,26.4,23.7,34.2,0.3
05-15-2010,27.7,,35.5,4.1
05-16-2010,24.9,20.9,33,5.1
05-17-2010,26.4,20.1,33.6,26.9
05-18-2010,27.1,21.6,32.3,5.1
05-19-2010,23.1,,25.4,1
05-20-2010,23.7,20.4,27.9,0.8
05-21-2010,24.6,22.1,28.5,2
05-22-2010,25.6,21.7,31.7,2
05-23-2010,26.7,21.6,32.4,4.1
05-24-2010,27.3,22.4,33.3,0
05-25-2010,27.4,23.4,33.3,
05-26-2010,26.9,22.4,32.6,
05-27-2010,28.1,22,34.6,
05-28-2010,28,23,34,
05-29-2010,26.9,23.2,34.8,
05-30-2010,25.4,,33.5,1
05-31-2010,25.9,20,31.9,19.1
06-01-2010,25.1,21.8,34,0.3
06-02-2010,25.9,21.6,33.3,5.1
06-03-2010,25.7,21.8,33,9.9
06-04-2010,26.2,,32,29
06-05-2010,25,20.2,30.9,16
06-06-2010,25.6,21.4,31.2,0
06-07-2010,24.7,21.4,28.6,0
06-08-2010,25.3,20.6,30.1,0
06-09-2010,23.9,21.6,30.3,
06-10-2010,24.1,21,27.5,
06-11-2010,23.9,21.2,26.8,1
06-12-2010,22.7,21,26.1,0
06-13-2010,22.9,20.8,26,18
06-14-2010,22.6,20.8,27,0.3
06-15-2010,23.1,20.3,27,15
06-16-2010,24.6,20.9,29.9,0
06-17-2010,24.2,21.5,28,
06-18-2010,23.9,21.4,27.8,0
06-19-2010,25.1,20.9,30.6,2
06-20-2010,25.9,21.3,31,0
06-21-2010,25.5,21.5,31.2,
06-22-2010,25.2,21.6,31.5,
06-23-2010,23.6,,30.1,
06-24-2010,23.6,19.5,27.8,
06-25-2010,23.9,,28.7,
06-26-2010,23.6,,28.6,
06-27-2010,25.7,20.9,31.1,
06-28-2010,25.9,21.5,31.6,
06-29-2010,26.5,,33.2,0
06-30-2010,24.6,,30,
07-01-2010,23.2,20.2,27.2,
07-02-2010,23.4,19.9,26,
07-03-2010,24.2,,28.2,
07-04-2010,24.5,20.4,29.5,
07-05-2010,23.4,21,27.4,
07-06-2010,22.1,,28.1,
07-07-2010,22.7,20.4,27.1,
07-08-2010,24,20.9,28.2,
07-09-2010,23.6,21.4,29.1,1
07-10-2010,24.6,21.3,30.1,0.5
07-11-2010,24.7,20.3,30.2,9.9
07-12-2010,23.8,21,28.4,5.1
07-13-2010,23.9,20.4,28.5,3
07-14-2010,25.2,20.5,30,0
07-15-2010,24.6,20,29.6,
07-16-2010,22.8,,27,0
07-17-2010,23.2,19.8,27.1,6.1
07-18-2010,23.5,20.2,28.8,0.5
07-19-2010,23.2,20.4,28.4,0.5
07-20-2010,22.7,,26.5,2
07-21-2010,22.5,20,25,1
07-22-2010,22.2,20,24.9,6.1
07-23-2010,22.9,19.6,27.6,0.3
07-24-2010,21.7,19.1,24.2,0
07-25-2010,22.7,20.1,26.4,0
07-26-2010,22.5,19.5,26.6,0
07-27-2010,22.2,19.5,27.2,0
07-28-2010,21.6,20.5,25.6,4.1
07-29-2010,21.5,20.1,26.6,10.9
07-30-2010,21.2,19.3,,39.9
07-31-2010,22.5,19.6,27.4,0.8
08-01-2010,23.2,20.1,27.1,0
08-02-2010,24.5,19.8,28.2,
08-03-2010,22.5,20.4,26,
08-04-2010,23.2,20.4,25.6,
08-05-2010,23.8,19.8,27.5,
08-06-2010,24.2,20.2,27.8,
08-07-2010,23.7,20.3,28.3,
08-08-2010,23.7,20.5,29.1,
08-09-2010,23.7,20.8,29.7,
08-10-2010,24.6,20.1,29.3,
08-11-2010,24.1,21.5,27.5,
08-12-2010,24.3,21,29.8,
08-13-2010,23.8,21.1,28.2,3
08-14-2010,24.5,21.1,28,0.3
08-15-2010,24.2,,27.9,0
08-16-2010,23.7,21.2,27.8,0
08-17-2010,22.3,,26.8,0
08-18-2010,23.7,19.9,27.2,10.9
08-19-2010,24.5,20.5,27.9,0
08-20-2010,23.7,22,27.9,
08-21-2010,21.8,20.1,27.2,
08-22-2010,22.7,20.4,26.5,
08-23-2010,23.2,,27,5.1
08-24-2010,23.1,20,26.8,10.9
08-25-2010,21.3,20.2,23.1,20.1
08-26-2010,21.4,19.8,25.1,6.1
08-27-2010,22.8,19.9,27.2,22.1
08-28-2010,23.2,20.4,28.1,2
08-29-2010,23.1,21,27.1,0
08-30-2010,21.6,,26,0
08-31-2010,21.7,18.8,26.4,9.9
09-01-2010,23.2,18.7,28.2,0
09-02-2010,23.1,19.8,27.4,
09-03-2010,22.8,20.7,25.4,
09-04-2010,22.9,20.4,26.8,
09-05-2010,22.7,19.3,26.9,
09-06-2010,22.8,19.6,26.7,
09-07-2010,23.1,20.5,,
09-08-2010,22.6,20.3,25.5,0.3
09-09-2010,22.4,,27.3,0
09-10-2010,23,19.8,28.4,14
09-11-2010,22.5,19.7,25.3,8.9
09-12-2010,23.3,20.4,27.1,3
09-13-2010,23.2,20.9,27.8,2
09-14-2010,22.8,20.1,26.3,0.5
09-15-2010,22.8,19.9,26.5,26.9
09-16-2010,22.8,19.1,26.5,0
09-17-2010,22.8,19.6,27.3,2
09-18-2010,23.2,18.8,25.8,5.1
09-19-2010,24.3,19.8,28,0
09-20-2010,24.6,20.5,29,
09-21-2010,25.2,22.1,29.8,0.5
09-22-2010,24.9,21.5,29.5,0
09-23-2010,27,22.4,31.8,0
09-24-2010,24,,30.8,
09-25-2010,24,19.1,30,
09-26-2010,23.9,20.5,29.5,1
09-27-2010,23.3,21.6,27,6.1
09-28-2010,24,20.8,29.2,3
09-29-2010,24.9,20.9,30,0
09-30-2010,25.1,20.6,30.2,0.3
10-01-2010,25,21.5,30.4,0.5
10-02-2010,24.2,21.2,29.5,0
